ath1_probe	FC_27_28_35_36_GSE576	Pvalue_27_28_35_36_down	Pvalue_27_28_35_36_up	FC_29_30_37_38_GSE576	Pvalue_29_30_37_38_down	Pvalue_29_30_37_38_up	FC_31_32_39_40_GSE576	Pvalue_31_32_39_40_down	Pvalue_31_32_39_40_up	FC_33_34_41_42_GSE576	Pvalue_33_34_41_42_down	Pvalue_33_34_41_42_up	ID	Annotation
244926_s_at	0.0422	0.5022	0.4277	-0.0693	0.3621	0.7322	0.0769	0.5252	0.2868	0.1311	0.6336	0.1731	AT2G07712;ATMG00520	[AT2G07712, pseudogene, similar to maturase-related protein, blastp match of 86% identity and 2.9e-305 P-value to GP|840924|gb|AAA67711.1||U09988 maturase-related protein {Glycine max}];[ATMG00520, hypothetical protein]
244927_at	-0.0808	0.3208	0.776	-0.042	0.3716	0.605	0.0497	0.5889	0.4046	0.0937	0.5129	0.2073	ATMG00530;AT2G07776	[ATMG00530, hypothetical protein];[AT2G07776, Identical to Uncharacterized mitochondrial protein AtMg00530  [Arabidopsis Thaliana] (GB:P93308;GB:Q0WM92); similar to unnamed protein product [Vitis vinifera] (GB:CAO47179.1)]
244928_s_at	-0.0941	0.2676	0.7199	0.2268	0.922	0.0628	-0.0284	0.3388	0.5593	-0.0085	0.4969	0.6597	ATMG00570;AT2G07716	[ATMG00570, encodes a protein of unknown function. The transcript has extensive RNA editing at the 3' end. Protein has orthologous in other plants and sequence is similar to E. coli ORFs orf154 and orf131, both of unknown function. So far, similar proteins are found only in plants and prokaryotes.];[AT2G07716, pseudogene, similar to orfx, blastp match of 85% identity and 5.5e-116 P-value to GP|287897|emb|CAA42649.1||X60046 orfx {Oenothera berteriana}]
244929_at	0.2219	0.623	0.0476	0.3921	0.9935	0.0161	0.2312	0.9405	0.0961	0.5054	0.977	0.0061	ATMG00580	NADH dehydrogenase subunit 4
244930_at	0.0449	0.5491	0.411	0.0073	0.3752	0.4059	-0.1755	0.1259	0.9406	0.2329	0.3051	0.0359	ATMG00600	hypothetical protein
244931_at	0.2764	0.8491	0.0387	0.2243	0.9226	0.0992	-0.1364	0.1793	0.8702	0.4524	0.9702	0.0099	ATMG00630	hypothetical protein
244932_at	-0.0175	0.3039	0.451	0.3191	0.9593	0.0408	0.1203	0.7976	0.2676	-0.0164	0.4453	0.6142	ATCG01060	Encodes the PsaC subunit of photosystem I.
244933_at	0.0794	0.4485	0.1533	0.5469	0.9861	0.007	-0.1466	0.1725	0.9089	0.1013	0.7031	0.2707	ATCG01070	NADH dehydrogenase ND4L
244934_at	0.0019	0.4913	0.4652	0.712	0.9892	0.0029	-0.1011	0.1554	0.5499	0.2114	0.7179	0.085	ATCG01080	NADH dehydrogenase ND6
244935_at	0.0335	0.572	0.4578	0.2092	0.7959	0.106	0.099	0.7763	0.3058	-0.0144	0.4066	0.5554	ATCG01090	Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex
244936_at	-0.1042	0.1613	0.5359	-0.0893	0.181	0.5503	0.1677	0.8946	0.1831	-0.3432	0.0198	0.9753	ATCG01100	NADH dehydrogenase ND1
244937_at	0.0213	0.2399	0.261	-0.1252	0.2529	0.8615	-0.0523	0.4105	0.7658	-0.26	0.0501	0.944	ATCG01110	Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4.
244938_at	0.0424	0.6555	0.5017	0.5643	0.9979	0.004	0.3493	0.9884	0.0228	0.1052	0.7586	0.2835	ATCG01120	encodes a chloroplast ribosomal protein S15, a constituent of the small subunit of the ribosomal complex
244939_at	0.0633	0.2783	0.218	-0.2213	0.0895	0.9581	-0.0187	0.5171	0.6835	-0.2723	0.0386	0.9526	ATCG00065	chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
244940_at	-0.0313	0.3353	0.5582	-0.1234	0.234	0.8159	0.0372	0.6702	0.5134	-0.0158	0.4502	0.6219	ATCG01230;ATCG00905	[ATCG01230, chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.];[ATCG00905, chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.]
244941_at	-0.1729	0.0799	0.6038	0.3447	0.9902	0.0257	-0.005	0.5249	0.602	0.3695	0.9856	0.0195	ATMG00010	hypothetical protein
244942_at	0.1243	0.7502	0.2039	0.1479	0.8507	0.1861	-0.1689	0.0857	0.687	0.1222	0.8617	0.2759	ATMG00050	hypothetical protein
244943_at	0.3076	0.9709	0.0363	-0.0559	0.403	0.6986	0.0989	0.5547	0.2245	0.1935	0.8992	0.1245	ATMG00070	NADH dehydrogenase subunit 9
244944_s_at	-0.0619	0.3245	0.5944	0.0414	0.5252	0.3759	0.2343	0.9632	0.0926	0.0746	0.767	0.4153	ATMG00080;ATMG00090	[ATMG00080, encodes a mitochondrial ribosomal protein L16, which is a constituent of the large ribosomal subunit];[ATMG00090, ribosomal protein S3]
244945_at	-0.1921	0.0743	0.6957	0.0403	0.4264	0.3273	-0.1333	0.1935	0.8809	-0.0369	0.295	0.5325	ATMG00110	Encodes a mitochondria-encoded cytochrome c biogenesis protein.
244946_at	0.1135	0.8361	0.3139	0.7075	0.9955	0.0022	-0.3367	0.0178	0.9417	0.5485	0.9743	0.0045	no_match	no_match
244947_at	0.007	0.432	0.3781	0.2213	0.7172	0.0812	-0.2736	0.0354	0.9779	0.1534	0.8024	0.176	ATMG00130	hypothetical protein
244948_at	-0.0371	0.4141	0.6041	0.2404	0.9722	0.0664	0.0263	0.6457	0.5408	0.0833	0.5432	0.2603	ATMG00140	hypothetical protein
244949_at	-0.0647	0.2538	0.5251	0.2249	0.9146	0.0959	0.0923	0.7455	0.33	0.1103	0.5049	0.1903	ATMG00150	hypothetical protein
244950_at	0.2539	0.9207	0.0895	-0.1103	0.208	0.719	-0.1347	0.1928	0.8957	-0.0028	0.4765	0.572	ATMG00160	cytochrome c oxidase subunit 2
244951_s_at	-0.1238	0.2386	0.8892	-0.2376	0.0651	0.9152	-0.1452	0.1292	0.8096	-0.0765	0.2381	0.6221	AT2G07723;ATMG00180	[AT2G07723, pseudogene, similar to orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter, blastp match of 76% identity and 3.4e-193 P-value to GP|459537|emb|CAA54966.1||X78036 orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter {Oenothera berteriana}];[ATMG00180, cytochrome c biogenesis orf452]
244952_at	0.3061	0.9468	0.0445	0.4644	0.9816	0.0109	-0.4264	0.0064	0.9807	0.3313	0.5277	0.0242	ATMG00260	hypothetical protein
244953_s_at	0.0924	0.608	0.207	0.2484	0.447	0.0651	-0.2453	0.0529	0.9572	0.4154	0.9593	0.0144	ATMG00270;AT2G07731	[ATMG00270, NADH dehydrogenase subunit 6];[AT2G07731, pseudogene, similar to NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard), blastp match of 96% identity and 3.7e-99 P-value to SP|Q01825|NU6M_ARATH NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard) {Brassica campestris}]
244954_s_at	0.3585	0.9871	0.0266	0.1625	0.892	0.1747	0.0085	0.5889	0.5832	0.2257	0.4368	0.0511	ATMG00280;AT2G07732	[ATMG00280, hypothetical protein];[AT2G07732, pseudogene, similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, blastp match of 96% identity and 3.2e-94 P-value to GP|17939362|gb|AAA33356.2||L22440 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit {Gyrostemon tepperi}]
244955_at	-0.1804	0.1308	0.9385	0.1367	0.7965	0.2142	-0.0559	0.3464	0.6777	-0.0503	0.2418	0.4589	ATMG00320	hypothetical protein
244956_s_at	0.2005	0.9303	0.1488	0.3108	0.988	0.0311	0.0511	0.6892	0.4399	0.3189	0.9126	0.0332	ATMG00310;AT2G07737	[ATMG00310, hypothetical protein];[AT2G07737, transposable element gene]
244957_at	-0.2203	0.0772	0.8781	0.1362	0.5124	0.164	-0.1388	0.183	0.8908	0.2347	0.857	0.0776	ATMG00400	hypothetical protein
244958_at	0.0086	0.5997	0.5856	0.2705	0.8316	0.0597	-0.3728	0.0092	0.9948	0.2704	0.6894	0.0475	ATMG00450	hypothetical protein
244959_s_at	0.0436	0.6618	0.501	-0.0972	0.2671	0.7287	-0.0154	0.4629	0.6184	0.1359	0.6838	0.1768	AT2G07708;ATMG00500;ATMG00490	[AT2G07708, Identical to Uncharacterized mitochondrial protein AtMg00500  [Arabidopsis Thaliana] (GB:P93305); similar to hypothetical protein BrnapMp004 [Brassica napus] (GB:YP_717103.1)];[ATMG00500, hypothetical protein];[ATMG00490, hypothetical protein]
244960_at	-0.1158	0.2539	0.8309	0.1968	0.5461	0.102	0.318	0.9813	0.0324	0.1333	0.6576	0.1773	ATCG01020	encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex
244961_at	-0.2566	0.0577	0.9781	0.0875	0.406	0.2002	-0.0013	0.416	0.4614	-0.15	0.1345	0.8582	ATCG01040	hypothetical protein
244962_at	-0.2212	0.0883	0.9532	0.1471	0.6351	0.1557	-0.2069	0.0696	0.8939	0.0317	0.5721	0.4865	ATCG01050	Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex.  Its mRNA is edited at four positions.  Translation data is not available for this gene.
244963_at	0.0452	0.5547	0.4323	0.2622	0.9723	0.0511	0.2249	0.9442	0.0983	-0.0403	0.1484	0.3345	ATCG00570	PSII cytochrome b559
244964_at	0.0416	0.5194	0.4227	0.1583	0.8699	0.1357	0.2908	0.9675	0.0495	-0.1461	0.0345	0.2295	ATCG00580	PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.
244965_at	-0.0831	0.2973	0.7104	0.4335	0.7427	0.0152	0.2066	0.91	0.1041	0.1689	0.639	0.1184	ATCG00590	hypothetical protein
244966_at	-0.1373	0.1315	0.5863	0.3898	0.9662	0.0231	0.078	0.7656	0.3879	-0.0692	0.1477	0.3211	ATCG00600	Cytochrome b6-f complex, subunit V. Disruption of homologous gene in Chlamydomonas results in disruption of cytochrome b6-f complex.
244967_at	-0.1897	0.0933	0.8478	0.074	0.1558	0.1121	0.114	0.8304	0.2919	-0.1035	0.0752	0.1939	ATCG00630	Encodes subunit J of photosystem I.
244968_at	0.3511	0.7972	0.0217	-0.1444	0.1551	0.7767	0.0379	0.6447	0.4987	-0.0605	0.1483	0.2948	ATCG00640	encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex
244969_at	0.1027	0.6249	0.2063	0.0261	0.557	0.4268	0.0904	0.7812	0.3505	-0.0709	0.205	0.4883	ATCG00650	chloroplast-encoded ribosomal protein S18
244970_at	0.0295	0.5536	0.4707	0.2745	0.9784	0.0536	0.0238	0.6322	0.5455	-0.0892	0.2651	0.8079	ATCG00660	encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex
244971_at	-0.0584	0.3935	0.7447	0.1247	0.851	0.2384	0.0113	0.6089	0.5959	-0.0521	0.377	0.7848	ATCG00670	Encodes the only ClpP (caseinolytic protease) encoded within the plastid genome.  Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). Part of the 350 kDa chloroplast Clp complex. The name reflects nomenclature described in Adam et. al (2001).
244972_at	0.1898	0.5686	0.1119	0.2455	0.9749	0.0638	-0.0013	0.5552	0.6094	-0.185	0.0592	0.414	ATCG00680	encodes for CP47, subunit of the photosystem II reaction center.
244973_at	0.2142	0.5043	0.0442	0.3564	0.9937	0.0199	0.3938	0.9912	0.0139	-0.0501	0.2067	0.3812	ATCG00690	Encodes photosystem II 5 kD protein subunit PSII-T. This is a plastid-encoded gene (PsbTc) which also has a nuclear-encoded paralog (PsbTn).
244974_at	0.0121	0.4475	0.3623	0.4906	0.9948	0.0068	-0.0755	0.2168	0.589	0.3597	0.7362	0.0191	ATCG00700	PSII low MW protein
244975_at	0.1959	0.9187	0.1489	0.0817	0.788	0.3223	0.1394	0.8314	0.227	-0.0943	0.2211	0.7516	ATCG00710	Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.
244976_at	-0.0838	0.3283	0.7886	-0.0024	0.5357	0.5462	-0.0391	0.4316	0.7169	-0.1326	0.1733	0.915	ATCG00720	Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.
244977_at	-0.2231	0.0208	0.3282	0.5895	0.9553	0.0063	-0.3894	0.0104	0.9707	0.1191	0.7918	0.2563	ATCG00730	A chloroplast gene encoding subunit IV of the cytochrome b6/f complex
244978_at	0.0543	0.6912	0.411	0.0828	0.7838	0.3261	0.2552	0.973	0.0715	0.0176	0.5102	0.5056	ATCG00740	RNA polymerase alpha subunit
244979_at	-0.0071	0.5565	0.6376	-0.0534	0.4136	0.642	-0.0001	0.5754	0.6291	-0.1138	0.1956	0.8544	ATCG00750	30S chloroplast ribosomal protein S11
244980_at	-0.0779	0.3314	0.8114	-0.0061	0.5878	0.5673	-0.1858	0.1149	0.9518	-0.3918	0.0101	0.9941	ATCG00760	encodes a chloroplast ribosomal protein L36, a constituent of the large subunit of the ribosomal complex
244981_at	-0.0852	0.3352	0.8321	0.0391	0.6433	0.3548	0.1974	0.9123	0.137	-0.3609	0.0134	0.9922	ATCG00770	chloroplast 30S ribosomal protein S8
244982_at	-0.0758	0.3255	0.7989	-0.0934	0.3149	0.7698	0.0919	0.8169	0.3577	-0.3889	0.0108	0.9866	ATCG00780	encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex
244983_at	-0.0464	0.4436	0.7357	0.1186	0.6621	0.2022	0.0077	0.6023	0.603	-0.0744	0.3023	0.8252	ATCG00790	chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit
244984_at	0.0215	0.6067	0.5101	0.3444	0.9868	0.0278	0.1792	0.9269	0.1587	-0.0918	0.2695	0.8622	ATCG00800	encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex
244985_at	-0.0102	0.4819	0.5263	0.1881	0.9322	0.1293	0.1297	0.8226	0.2487	-0.3325	0.0206	0.8962	ATCG00810	encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex
244986_at	-0.0812	0.3383	0.7793	-0.0681	0.2985	0.6414	0.1614	0.899	0.1963	-0.0919	0.2646	0.8303	ATCG00820	Encodes a 6.8-kDa protein of the small ribosomal subunit.
244987_s_at	0.065	0.7081	0.4022	0.0561	0.734	0.4108	0.1125	0.83	0.2819	-0.0486	0.3943	0.7869	ATCG01310;ATCG00830	[ATCG01310, encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex];[ATCG00830, encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex]
244988_s_at	-0.0658	0.3672	0.7277	0.1154	0.7362	0.2325	-0.1027	0.2772	0.8654	-0.1512	0.1492	0.918	ATCG00840;ATCG01300	[ATCG00840, One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex];[ATCG01300, One of two chloroplast genes that encode  chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex]
244989_s_at	-0.0226	0.4941	0.6342	0.6551	0.9994	0.0014	-0.2517	0.0479	0.9448	0.2962	0.6079	0.0354	ATCG00860;ATCG01280	[ATCG00860, Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.];[ATCG01280, hypothetical protein]
244990_s_at	-0.0207	0.0558	0.0809	0.6956	0.9997	0.001	0.2269	0.9568	0.0971	0.4298	0.9728	0.0121	ATCG00870;ATCG01270	[ATCG00870, hypothetical protein];[ATCG01270, hypothetical protein]
244991_s_at	-0.2182	0.0481	0.6628	0.8996	0.9997	0.0004	-0.1331	0.1384	0.6892	0.2354	0.8571	0.0773	ATCG01250;ATCG00890	[ATCG01250, NADH dehydrogenase ND2];[ATCG00890, NADH dehydrogenase ND2]
244992_s_at	-0.0753	0.3128	0.7718	-0.0529	0.3322	0.5797	0.0302	0.6604	0.5354	0.0712	0.7297	0.4156	ATCG00900;ATCG01240	[ATCG00900, encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex];[ATCG01240, 30S chloroplast ribosomal protein S7]
244993_s_at	-0.1065	0.1498	0.4718	0.194	0.7482	0.1033	0.0974	0.7973	0.331	0.0897	0.7831	0.3552	ATCG01000;ATCG01130	[ATCG01000, hypothetical protein];[ATCG01130, hypothetical protein]
244994_at	-0.2923	0.0076	0.2942	0.3426	0.5205	0.0381	0.0442	0.6833	0.4714	0.1872	0.9268	0.1404	ATCG01010	Chloroplast encoded  NADH dehydrogenase unit.
244995_at	-0.0603	0.2728	0.6599	0.165	0.3226	0.0956	-0.0813	0.3261	0.8172	-0.2002	0.0862	0.835	ATCG00150	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.
244996_at	0.0053	0.5882	0.6245	-0.001	0.4696	0.5036	0.2309	0.9632	0.0913	-0.1107	0.2273	0.8953	ATCG00160	Chloroplast ribosomal protein S2
244997_at	-0.1271	0.1876	0.7804	0.0291	0.2916	0.2638	-0.2354	0.0616	0.9688	-0.1425	0.1468	0.8614	ATCG00170	RNA polymerase beta' subunit-2
244998_at	-0.1522	0.162	0.8148	0.0641	0.532	0.2996	-0.1479	0.1461	0.867	-0.1357	0.1555	0.7907	ATCG00180	RNA polymerase beta' subunit-1
244999_at	-0.0157	0.4264	0.6128	0.1515	0.7182	0.1719	0.072	0.7597	0.3969	-0.1977	0.0665	0.7013	ATCG00190	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
245000_at	0.1764	0.9165	0.1717	0.3665	0.4392	0.0303	-0.2266	0.0512	0.7618	0.1033	0.4497	0.1621	ATCG00210	hypothetical protein
245001_at	-0.2375	0.0503	0.8175	0.3094	0.781	0.0516	0.0736	0.7667	0.3952	0.0023	0.2857	0.3291	ATCG00220	PSII low MW protein
245002_at	-0.1803	0.0666	0.6081	0.4197	0.9877	0.0129	-0.0442	0.3924	0.703	-0.2839	0.0412	0.7863	ATCG00270	PSII D2 protein
245003_at	0.0508	0.5576	0.4091	0.2247	0.8097	0.0761	0.1358	0.8719	0.2479	0.0036	0.4483	0.5026	ATCG00280	chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.
245004_at	-0.0548	0.3841	0.7111	0.2205	0.9442	0.0989	-0.015	0.5345	0.6761	0.026	0.5872	0.5223	ATCG00300	encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.
245005_at	0.1771	0.6063	0.0716	0.8005	0.9979	0.0011	-0.1316	0.083	0.3757	0.3282	0.7775	0.0309	ATCG00330	30S chloroplast ribosomal protein S14
245006_at	0.0176	0.5748	0.5754	0.0722	0.7655	0.3541	0.0305	0.6629	0.5304	0.0456	0.6276	0.4731	ATCG00340	Encodes the D1 subunit of photosystem I  and II reaction centers.
245007_at	0.1208	0.608	0.2438	0.1684	0.9284	0.1391	0.2572	0.9691	0.0713	-0.1129	0.079	0.3332	ATCG00350	Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome.
245008_at	0.0448	0.4354	0.3747	0.0175	0.5912	0.4844	0.1698	0.9202	0.1763	-0.1491	0.1432	0.9002	ATCG00360	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.
245009_at	0.066	0.7499	0.4437	0.0289	0.5787	0.4511	-0.044	0.4442	0.7519	0.0413	0.6702	0.5196	ATCG00380	Chloroplast encoded ribosomal protein S4
245010_at	-0.0687	0.2465	0.5793	0.521	0.9053	0.01	-0.3968	0.0115	0.9781	0.1936	0.7388	0.1029	ATCG00420	Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion.
245011_at	-0.0696	0.136	0.4167	0.5397	0.6277	0.0108	-0.2792	0.038	0.9584	0.0394	0.5217	0.3993	ATCG00430	Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase.
245012_at	-0.0955	0.3032	0.8089	0.482	0.9556	0.0131	0.2208	0.9429	0.1031	-0.0854	0.1598	0.4906	ATCG00440	Encodes NADH dehydrogenase D3 subunit of the chloroplast NAD(P)H dehydrogenase complex
245013_at	0.0333	0.6565	0.5144	0.1049	0.7453	0.2579	0.0135	0.6204	0.5862	-0.0165	0.4955	0.705	ATCG00470	ATPase epsilon subunit
245014_at	0.0387	0.6409	0.5086	0.0508	0.7208	0.4267	-0.0279	0.4897	0.7073	-0.075	0.2989	0.8095	ATCG00480	chloroplast-encoded gene for beta subunit of ATP synthase
245015_at	0.0132	0.3563	0.4339	-0.0048	0.3329	0.4032	-0.2931	0.0292	0.9902	-0.159	0.126	0.888	ATCG00490	large subunit of RUBISCO.
245016_at	0.0339	0.5438	0.4495	0.0251	0.6978	0.5064	0.0167	0.5558	0.5357	-0.1345	0.1771	0.9027	ATCG00500	Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.
245017_at	-0.1878	0.1229	0.901	0.2253	0.7256	0.094	-0.0232	0.4873	0.68	-0.0654	0.2515	0.6086	ATCG00510	Encodes subunit I of photosystem I.
